SUKL kod;Celkova cena;Datum zmeny;Zdroj
0735D;17.93;15.10.2024;mzsr
07391;0.20;15.10.2024;mzsr
07392;0.41;15.10.2024;mzsr
07393;0.81;15.10.2024;mzsr
0740B;7.68;15.10.2024;mzsr
0753A;6.30;15.10.2024;mzsr
0753E;8.12;15.10.2024;mzsr
0756E;28.41;15.10.2024;mzsr
07616;4.20;15.10.2024;mzsr
07617;12.60;15.10.2024;mzsr
07620;58.14;15.10.2024;mzsr
0766D;6.87;15.10.2024;mzsr
0770D;20.54;15.10.2024;mzsr
07778;1.43;15.10.2024;mzsr
07794;1.01;15.10.2024;mzsr
07813;1.70;15.10.2024;mzsr
0781B;3792.71;15.10.2024;mzsr
07825;255.00;15.10.2024;mzsr
0784E;1.79;15.10.2024;mzsr
07859;4.64;15.10.2024;mzsr
0789E;3.56;15.10.2024;mzsr
07962;8.95;15.10.2024;mzsr
0796B;6.90;15.10.2024;mzsr
07976;17.68;15.10.2024;mzsr
0798E;1.96;15.10.2024;mzsr
0802E;3.93;15.10.2024;mzsr
0806B;129.65;15.10.2024;mzsr
0810E;2.40;15.10.2024;mzsr
08141;124.88;15.10.2024;mzsr
08144;499.53;15.10.2024;mzsr
0814C;475.88;15.10.2024;mzsr
0814E;4.77;15.10.2024;mzsr
08151;5.41;15.10.2024;mzsr
0816C;942.96;15.10.2024;mzsr
0816E;2305.45;15.10.2024;mzsr
0817E;168.53;15.10.2024;mzsr
0818C;1874.23;15.10.2024;mzsr
0822E;794.83;15.10.2024;mzsr
08245;10.23;15.10.2024;mzsr
08247;14.43;15.10.2024;mzsr
08255;5.68;15.10.2024;mzsr
08259;11.36;15.10.2024;mzsr
0825E;10.56;15.10.2024;mzsr
08294;847.00;15.10.2024;mzsr
08297;29.40;15.10.2024;mzsr
08298;88.20;15.10.2024;mzsr
08300;88.20;15.10.2024;mzsr
0831C;118.07;15.10.2024;mzsr
0832C;353.55;15.10.2024;mzsr
0835D;6.99;15.10.2024;mzsr
08364;29.40;15.10.2024;mzsr
